INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
185-22 HORACE HARDING EXPRESSWAY,QUEENS,08 QUEENS,Precinct 107,23,4070740005,02/22/2018,Open,Site downloaded for cleaning,,1042728,208928,40.739943,-73.788975,11365,1341  ,4152844,Fresh Meadows-Utopia,"(40.739943, -73.788975)",14507,25,3,16,65
580 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022470006,01/31/2018,Open,Site downloaded for cleaning,,998792,195743,40.703934,-73.947552,11206, 509  ,3061332,Williamsburg,"(40.703934, -73.947552)",17213,36,2,38,56
595 CLINTON STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005520005,11/07/2017,Open,Site downloaded for cleaning,,983785,185230,40.675091,-74.001676,11231,  53  ,3008517,Carroll Gardens-Columbia Street-Red Hook,"(40.675091, -74.001676)",13514,14,2,7,48
1777 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,05,1015540029,12/19/2017,Open,Site downloaded for cleaning,,999012,223662,40.780565,-73.946697,10128, 154  ,1050220,Yorkville,"(40.780565, -73.946697)",10099,23,4,1,11
172 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004120001,11/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/04/2017,987460,202188,40.721636,-73.988420,10002,  3001,1005386,Chinatown,"(40.721636, -73.98842)",11723,70,4,32,4
274 WYCKOFF AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033370027,11/22/2017,Open,Site downloaded for cleaning,,1008622,194351,40.700092,-73.912103,11237, 439  ,3076371,Bushwick North,"(40.700092, -73.912103)",13828,42,2,37,53
Adelphi street and flushing ave,BROOKLYN,01 BROOKLYN,Unspecified,,,03/07/2018,Open,Property Research Required,,,,,,,,,,,,,,,
3918 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007080042,01/12/2018,Open,Site downloaded for cleaning,,982492,176991,40.652476,-74.006336,11232,  84  ,3010494,Sunset Park West,"(40.652476, -74.006336)",13515,9,2,7,45
1155 CROMWELL AVENUE,BRONX,04 BRONX,Precinct 44,16,2024950100,02/13/2018,Open,Site downloaded for cleaning,,1005539,243418,40.834749,-73.923081,10452,  63  ,2003022,West Concourse,"(40.834749, -73.923081)",10930,50,5,42,27
50-17 5 STREET,QUEENS,02 QUEENS,Precinct 108,26,4000330021,01/20/2018,Open,Site downloaded for cleaning,,996307,209973,40.742996,-73.956489,11101,   7  ,4436594,Hunters Point-Sunnyside-West Maspeth,"(40.742996, -73.956489)",16858,53,3,33,66
549 3 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010400108,11/09/2017,Open,Site downloaded for cleaning,,986018,182763,40.668319,-73.993627,11215, 117  ,3023644,Park Slope-Gowanus,"(40.668319, -73.993627)",17617,14,2,27,50
3750 3 AVENUE,BRONX,03 BRONX,Precinct 42,16,2029270004,01/31/2018,Open,Site downloaded for cleaning,,1011190,243970,40.836276,-73.902643,10456, 169  ,2120519,Claremont-Bathgate,"(40.836276, -73.902643)",10934,34,5,42,25
1741 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016910012,12/12/2017,Open,Site downloaded for cleaning,,1004133,186751,40.679243,-73.928315,11233, 381  ,3325182,Crown Heights North,"(40.679243, -73.928315)",13516,69,2,49,52
664 PENNSYLVANIA AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3042980020,12/08/2017,Open,Mail returned / wrong address,,1014071,180133,40.661050,-73.892515,11207,1128  ,3096395,East New York (Pennsylvania Ave),"(40.66105, -73.892515)",17214,45,2,25,47
1403 45 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,44,3056120001,01/12/2018,Open,Site downloaded for cleaning,,987798,170889,40.635727,-73.987217,11219, 232  ,3136508,Borough Park,"(40.635727, -73.987217)",17621,2,2,18,39
257 MACON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018460047,02/13/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1000499,187766,40.682036,-73.941415,11216, 269  ,3053112,Bedford,"(40.682036, -73.941415)",17618,69,2,49,51
318 CORTELYOU ROAD,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053870007,01/24/2018,Open,Site downloaded for cleaning,,990867,171786,40.638187,-73.976158,11218, 490  ,3126676,Kensington-Ocean Parkway,"(40.638187, -73.976158)",17620,2,2,27,39
701 spofford ave,BRONX,01 BRONX,Unspecified,,,01/03/2018,Open,Property Research Required,,,,,,,,,,,,,,,
491 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004840026,01/21/2018,Open,Site downloaded for cleaning,,984342,202330,40.721903,-73.999773,10012,  49  ,1007253,SoHo-TriBeCa-Civic Center-Little Italy,"(40.721903, -73.999773)",12076,57,4,32,1
198-39 32 AVENUE,QUEENS,11 QUEENS,Precinct 111,19,4060210029,12/17/2017,Open,Site downloaded for cleaning,,1042100,219575,40.769170,-73.791150,11358,1085  ,4133974,Bayside-Bayside Hills,"(40.76917, -73.79115)",14193,26,3,20,69
271 WEST   23 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007730008,12/18/2017,Open,Site downloaded for cleaning,,984946,210657,40.744882,-73.997488,10011,  91  ,1014143,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.744882, -73.997488)",12074,12,4,10,6
428 EAST   14 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004410020,12/18/2017,Open,Site downloaded for cleaning,,989412,205551,40.730865,-73.981375,10009,  34  ,1077677,East Village,"(40.730865, -73.981375)",11729,70,4,50,5
703 3 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006450012,11/07/2017,Open,Site downloaded for cleaning,,984676,180884,40.663162,-73.998464,11232, 145  ,3336840,Sunset Park West,"(40.663162, -73.998464)",13515,9,2,7,45
756 NEW LOTS AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,,12/07/2017,Open,Property Research Required,,1016795,182078,40.666379,-73.882687,11207,1120  ,,East New York,"(40.666379, -73.882687)",17214,45,2,25,47
150 QUENTIN ROAD,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066490003,02/07/2018,Open,Site downloaded for cleaning,,989506,159959,40.605726,-73.981071,11223, 426  ,3176748,Bensonhurst East,"(40.605726, -73.981071)",18183,1,2,18,37
518 3 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010200044,11/07/2017,Open,Site downloaded for cleaning,,986341,183284,40.669749,-73.992462,11215, 117  ,3337653,Park Slope-Gowanus,"(40.669749, -73.992462)",17617,14,2,27,50
8722 GLENWOOD ROAD,BROOKLYN,18 BROOKLYN,Precinct 69,46,3080080041,02/10/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1009337,172620,40.640443,-73.909606,11236, 958  ,3224593,Canarsie,"(40.640443, -73.909606)",13827,5,2,8,42
1908 U AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073520003,11/21/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/01/2018,997481,157610,,,,,,,,,,,,
203-05 32 AVENUE,QUEENS,11 QUEENS,Precinct 111,19,4060300040,01/18/2018,Open,Site downloaded for cleaning,,1043377,220077,40.770539,-73.786535,11361,1085  ,4134304,Bayside-Bayside Hills,"(40.770539, -73.786535)",14195,26,3,20,69
14-27 ASTORIA BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4005400023,01/22/2018,Open,Site downloaded for cleaning,,1003985,220608,40.772173,-73.928750,11102,  83  ,4006107,Old Astoria,"(40.772173, -73.92875)",16859,39,3,4,72
536 GLENMORE AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039940010,11/06/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,11/28/2017,1014638,184853,40.674004,-73.890450,11207,1152  ,3388694,East New York,"(40.674004, -73.89045)",17214,45,2,37,47
214 WEST   95 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,06,1012420138,12/20/2017,Open,Site downloaded for cleaning,,992169,228408,40.793600,-73.971400,10025, 183  ,1033690,Upper West Side,"(40.7936, -73.9714)",12422,20,4,19,15
347 askford st,BROOKLYN,01 BROOKLYN,Unspecified,,,12/08/2017,Open,Property Research Required,,,,,,,,,,,,,,,
428 BAY STREET,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,,12/15/2017,Open,Property Research Required,,963120,169433,40.631706,-74.076126,10304,  21  ,,Stapleton-Rosebank,"(40.631706, -74.076126)",10691,4,1,13,74
153 EUCLID AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041290027,11/15/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2018,1019065,188723,40.684610,-73.874470,11208,117602,3323918,Cypress Hills-City Line,"(40.68461, -73.87447)",17215,45,2,37,47
1010 PACIFIC STREET,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011330032,03/11/2018,Open,Site to be cleaned.,,995416,186762,40.679289,-73.959743,11238, 305  ,3330763,Crown Heights North,"(40.679289, -73.959743)",13829,16,2,48,49
147-14 NORTHERN BOULEVARD,QUEENS,07 QUEENS,Precinct 109,20,4050160027,03/12/2018,Open,Site to be cleaned.,,1034361,218099,40.765166,-73.819100,11354,1163  ,4113528,Murray Hill,"(40.765166, -73.8191)",13832,22,3,3,67
1191 CASTLEHILL AVENUE,BRONX,09 BRONX,Precinct 43,18,2038110036,12/20/2017,Open,Site downloaded for cleaning,,1025483,242328,40.831714,-73.851001,10462,  92  ,2026488,Westchester-Unionport,"(40.831714, -73.851001)",11271,58,5,31,26
31-49 76 STREET,QUEENS,03 QUEENS,Precinct 115,25,4011470036,01/17/2018,Open,Site downloaded for cleaning,,1014327,215360,40.757739,-73.891435,11370, 30903,4025644,Jackson Heights,"(40.757739, -73.891435)",14781,65,3,5,73
1622 AMSTERDAM AVENUE,MANHATTAN,09 MANHATTAN,Precinct 30,07,1020710036,12/07/2017,Open,Site downloaded for cleaning,,998089,238752,40.821984,-73.949999,10031, 225  ,1061738,Hamilton Heights,"(40.821984, -73.949999)",12428,37,4,23,19
233 WEST   18 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007680018,01/11/2018,Open,Site downloaded for cleaning,,984546,209431,40.741517,-73.998932,10011,  87  ,1013877,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.741517, -73.998932)",12074,12,4,10,6
1216 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3042050026,01/24/2018,Open,Site downloaded for cleaning,,1021896,186682,40.678996,-73.864274,11208,1188  ,3094493,Cypress Hills-City Line,"(40.678996, -73.864274)",17215,45,2,37,47
515 5 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010357502,02/21/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,987476,182165,40.666677,-73.988371,11215, 141  ,3392322,Park Slope-Gowanus,"(40.666677, -73.988371)",17617,14,2,27,50
88-06 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,32,4091530003,11/09/2017,Open,Site downloaded for cleaning,,1025722,187016,40.679896,-73.850478,11417,  54  ,4190609,Ozone Park,"(40.679896, -73.850478)",24013,62,3,41,64
448 LINCOLN ROAD,BROOKLYN,09 BROOKLYN,Precinct 71,40,3047910041,01/26/2018,Open,Site to be cleaned.,,998590,180358,40.661706,-73.948313,11225, 804  ,3106504,Prospect Lefferts Gardens-Wingate,"(40.661706, -73.948313)",13509,17,2,11,44
95-12 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4089360006,11/17/2017,Open,Site downloaded for cleaning,,1025773,192252,40.694267,-73.850262,11421,  20  ,4184382,Woodhaven,"(40.694267, -73.850262)",24017,46,3,41,60
123 SMITH STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3001880005,01/22/2018,Open,Site downloaded for cleaning,,987071,189806,40.687650,-73.989828,11201,  43  ,3001064,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"(40.68765, -73.989828)",16865,68,2,38,54
2080 JEROME AVENUE,BRONX,05 BRONX,Precinct 46,14,2031790013,12/26/2017,Open,Site downloaded for cleaning,,1010066,250619,40.854529,-73.906680,10453, 241  ,2013960,Mount Hope,"(40.854529, -73.90668)",10931,6,5,29,29
632 KINGS HIGHWAY,BROOKLYN,15 BROOKLYN,Precinct 61,44,3066630032,01/31/2018,Open,Site to be cleaned.,,993601,160018,40.605884,-73.966324,11223, 418  ,3177463,Homecrest,"(40.605884, -73.966324)",18183,32,2,18,36
1608 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073490004,11/21/2017,Open,Site downloaded for cleaning,,996670,157493,40.598950,-73.955276,11229, 580  ,3199611,Madison,"(40.59895, -73.955276)",13512,32,2,15,36
1274 NOSTRAND AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050570045,12/04/2017,Open,Site downloaded for cleaning,,998087,178248,40.655916,-73.950130,11226, 820  ,3116064,Prospect Lefferts Gardens-Wingate,"(40.655916, -73.95013)",13510,17,2,11,44
1167 MYRTLE AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031700004,02/13/2018,Open,Site downloaded for cleaning,,1002455,193252,40.697090,-73.934347,11206, 389  ,3072168,Bushwick South,"(40.69709, -73.934347)",17213,42,2,30,53
7442 atlantic ave,BROOKLYN,01 BROOKLYN,Unspecified,,,11/21/2017,Open,Property Research Required,,,,,,,,,,,,,,,
269 WEST   25 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007750001,11/21/2017,Open,Site downloaded for cleaning,,985216,211120,40.746152,-73.996514,10001,  91  ,1014192,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.746152, -73.996514)",11722,12,4,10,6
228-15 LINDEN BOULEVARD,QUEENS,13 QUEENS,Precinct 105,27,4113290003,01/31/2018,Open,Site downloaded for cleaning,,1058307,191829,40.692894,-73.732945,11411, 600  ,4244618,Cambria Heights,"(40.692894, -73.732945)",15311,63,3,6,63
2284 MCDONALD AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071230013,12/24/2017,Open,Site downloaded for cleaning,,991665,156651,40.596644,-73.973300,11223, 398  ,3192648,Gravesend,"(40.596644, -73.9733)",18183,32,2,45,36
1840 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18,2037660038,12/19/2017,Open,Site downloaded for cleaning,,1021768,242582,40.832428,-73.864424,10472,  70  ,2024827,Soundview-Bruckner,"(40.832428, -73.864424)",11610,58,5,31,26
305 6 AVENUE,MANHATTAN,02 MANHATTAN,Precinct 6,03,1005890041,01/31/2018,Open,Site to be cleaned.,,983802,205499,40.730724,-74.001616,10014,  67  ,1010081,West Village,"(40.730724, -74.001616)",12077,57,4,10,3
11-52 44 DRIVE,QUEENS,02 QUEENS,Precinct 108,26,4000520045,02/08/2018,Open,Site downloaded for cleaning,,998303,211967,,,,,,,,,,,,
1591 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18,2037760002,01/29/2018,Open,Site downloaded for cleaning,,1018578,241370,40.829114,-73.875957,10472,  54  ,2120085,West Farms-Bronx River,"(40.829114, -73.875957)",11610,58,5,31,26
3153 CONEY ISLAND AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3087070063,12/11/2017,Open,Site downloaded for cleaning,,995443,150224,40.578999,-73.959706,11235, 61003,3245350,Brighton Beach,"(40.578999, -73.959706)",13826,21,2,15,35
6416 17 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,38,3055450047,03/12/2018,Open,Site to be cleaned.,,986467,165508,40.620958,-73.992014,11204, 252  ,3133458,Bensonhurst West,"(40.620958, -73.992014)",16867,1,2,7,37
390 AVENUE P,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066320007,11/22/2017,Open,Site downloaded for cleaning,,991650,161068,40.608768,-73.973349,11204, 424  ,3175881,Bensonhurst East,"(40.608768, -73.973349)",18183,1,2,18,37
861 3 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006760070,11/09/2017,Open,Site downloaded for cleaning,,983202,179025,40.658059,-74.003777,11232, 101  ,3010013,Sunset Park West,"(40.658059, -74.003777)",13515,9,2,7,45
142 WEST   83 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,06,1012130051,12/18/2017,Open,Site downloaded for cleaning,,991206,225299,40.785067,-73.974881,10024, 169  ,1079523,Upper West Side,"(40.785067, -73.974881)",12421,20,4,19,12
9 CLARKSON AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050550001,11/14/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2018,995626,177874,40.654893,-73.959001,11226, 79601,3115940,Prospect Lefferts Gardens-Wingate,"(40.654893, -73.959001)",13510,17,2,11,44
94-52 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,25,4018770021,11/29/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/21/2018,1020415,209741,40.742294,-73.869490,11373, 461  ,4046361,Elmhurst,"(40.742294, -73.86949)",14784,66,3,5,68
67 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031880001,02/02/2018,Open,Site to be cleaned.,,1005338,195943,40.704470,-73.923942,11237, 447  ,3072586,Bushwick North,"(40.70447, -73.923942)",13828,42,2,30,53
800 EAST  149 STREET,BRONX,01 BRONX,Precinct 40,08,2025810024,12/18/2017,Open,Site downloaded for cleaning,,1010127,235378,40.812696,-73.906518,10455,  35  ,2003957,Mott Haven-Port Morris,"(40.812696, -73.906518)",10933,49,5,35,23
761 BRUCKNER BOULEVARD,BRONX,02 BRONX,Precinct 41,08,2027290090,11/17/2017,Closed,Cleaning crew dispatched.  Owner refused.,02/20/2018,1012958,236142,40.814785,-73.896287,10455,  85  ,2005833,Longwood,"(40.814785, -73.896287)",10933,8,5,43,24
426 ROCKAWAY AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41,3035210041,03/05/2018,Open,Site to be cleaned.,,1009024,183190,40.669457,-73.910695,11212, 924  ,3081051,Brownsville,"(40.669457, -73.910695)",17614,55,2,17,46
2485 unerversity ave,BRONX,01 BRONX,Unspecified,,,12/26/2017,Open,Property Research Required,,,,,,,,,,,,,,,
215 WAVERLY PLACE,MANHATTAN,02 MANHATTAN,Precinct 6,03,,02/10/2018,Open,Property Research Required,,983789,207230,40.735475,-74.001663,10014,  71  ,,West Village,"(40.735475, -74.001663)",12077,57,4,10,3
E 170 ST AND COLLEGE AVENUE,BRONX,01 BRONX,Unspecified,,,02/13/2018,Open,Property Research Required,,,,,,,,,,,,,,,
888 NOSTRAND AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,35,3012820045,02/14/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,997922,182534,40.667680,-73.950716,11225, 321  ,3033537,Crown Heights South,"(40.66768, -73.950716)",13509,17,2,48,44
104 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004110073,11/14/2017,Open,Site downloaded for cleaning,,987558,201592,40.720000,-73.988066,10002,  3001,1005384,Chinatown,"(40.72, -73.988066)",11723,70,4,32,4
892 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015820015,12/07/2017,Open,Site downloaded for cleaning,,1001684,193593,40.698028,-73.937127,11206, 287  ,3393613,Stuyvesant Heights,"(40.698028, -73.937127)",17213,69,2,49,52
Tillotson Avenue Step street on walls between Wickham Avenue and East 222nd street,BRONX,01 BRONX,Unspecified,,,11/13/2017,Open,Property Research Required,,,,,,,,,,,,,,,
69-62 MAIN STREET,QUEENS,08 QUEENS,Precinct 107,24,4066160037,12/28/2017,Open,Site downloaded for cleaning,,1033200,205224,40.729834,-73.823385,11367, 77902,4143180,Kew Gardens Hills,"(40.729834, -73.823385)",14509,25,3,24,65
463 10 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007070039,01/03/2018,Open,Site downloaded for cleaning,,984702,214589,40.755674,-73.998369,10018,  99  ,1012483,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.755674, -73.998369)",12080,12,4,10,6
35 WEST  170 STREET,BRONX,04 BRONX,Precinct 44,16,2028720086,01/02/2018,Open,Site downloaded for cleaning,,1006404,245620,40.840818,-73.919934,10452, 21302,2008665,Highbridge,"(40.840818, -73.919934)",10930,50,5,42,27
30 WEST KINGSBRIDGE ROAD,BRONX,07 BRONX,Precinct 52,14,2032050025,01/19/2018,Open,Site downloaded for cleaning,,1012239,255431,40.867730,-73.898804,10468, 265  ,2014457,Kingsbridge Heights,"(40.86773, -73.898804)",11606,24,5,29,34
141-16 ROCKAWAY BOULEVARD,QUEENS,12 QUEENS,Precinct 113,28,4120560023,12/07/2017,Open,Site downloaded for cleaning,,1039950,184954,40.674158,-73.799198,11436, 790  ,4261769,Baisley Park,"(40.674158, -73.799198)",24671,41,3,46,71
38 WEST BURNSIDE AVENUE,BRONX,05 BRONX,Precinct 46,14,2028700031,01/08/2018,Open,Site downloaded for cleaning,,1009419,250363,40.853828,-73.909019,10453, 243  ,2008632,University Heights-Morris Heights,"(40.853828, -73.909019)",10931,6,5,29,29
jamaica ave,QUEENS,01 QUEENS,Unspecified,,,12/18/2017,Open,Property Research Required,,,,,,,,,,,,,,,
58 MARBLE HILL AVENUE,BRONX,08 BRONX,Precinct 50,10,1022150555,11/29/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/12/2018,1009222,258339,40.875720,-73.909702,10463, 309  ,1064679,Marble Hill-Inwood,"(40.87572, -73.909702)",11272,48,4,39,33
2383 65 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065590043,01/13/2018,Open,Site downloaded for cleaning,,990577,161992,40.611305,-73.977212,11204, 436  ,3172501,Bensonhurst East,"(40.611305, -73.977212)",16867,1,2,18,37
2015 GRAND CONCOURS,BRONX,01 BRONX,Unspecified,,,02/09/2018,Open,Site downloaded for cleaning,,,,,,,,,,,,,,,
113-07 ROCKAWAY BEACH BOULEVARD,QUEENS,14 QUEENS,Precinct 100,32,4161860006,02/24/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1030157,150813,40.580504,-73.834735,11694, 938  ,4303890,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"(40.580504, -73.834735)",20532,51,3,41,58
32-11 BROADWAY,QUEENS,01 QUEENS,Precinct 114,22,4006140005,11/16/2017,Open,Site downloaded for cleaning,,1005192,216729,40.761523,-73.924404,11106,  61  ,4008403,Astoria,"(40.761523, -73.924404)",16863,39,3,4,72
875 LEXINGTON AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,41,,03/09/2018,Open,Property Research Required,,1004808,190879,40.690572,-73.925869,11221, 387  ,,Stuyvesant Heights,"(40.690572, -73.925869)",18181,69,2,17,52
480 SAINT NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,09,1019590001,02/22/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,998519,236627,40.816151,-73.948450,10030, 215  ,1059446,Central Harlem North-Polo Grounds,"(40.816151, -73.94845)",12427,18,4,36,20
1154 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016080027,12/26/2017,Open,Site downloaded for cleaning,,1004108,191796,40.693090,-73.928390,11221, 289  ,3043494,Stuyvesant Heights,"(40.69309, -73.92839)",18181,69,2,49,52
2325 65 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065590068,01/13/2018,Open,Site downloaded for cleaning,,990199,162288,40.612118,-73.978573,11204, 436  ,3172519,Bensonhurst East,"(40.612118, -73.978573)",16867,1,2,18,37
92-03 172 STREET,QUEENS,12 QUEENS,Precinct 103,27,4102130001,11/27/2017,Closed,Cleaning crew dispatched. No graffiti on property.,02/21/2018,1043039,197071,40.707396,-73.787957,11433, 444  ,4217509,Jamaica,"(40.707396, -73.787957)",24668,41,3,6,61
182-43 JAMAICA AVENUE,QUEENS,12 QUEENS,Precinct 103,27,4099020096,11/17/2017,Open,Site downloaded for cleaning,,1045827,197621,40.708887,-73.777896,11423, 470  ,4211866,Jamaica,"(40.708887, -73.777896)",24332,41,3,6,61
86-08 QUEENS BOULEVARD,QUEENS,04 QUEENS,Precinct 110,25,4028510022,12/07/2017,Open,Mail returned / wrong address,,1018234,207646,40.736552,-73.877371,11373, 475  ,4064655,Elmhurst,"(40.736552, -73.877371)",14784,66,3,5,68
1842 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3013370034,12/12/2017,Open,Site downloaded for cleaning,,1004040,186045,40.677305,-73.928653,11233, 307  ,3035582,Crown Heights North,"(40.677305, -73.928653)",13516,16,2,49,49
